code_client,numero_service_client,date_naissance,activite_client,idPersonne
1,1-626-348-8174,1996-10-28 02:24:00,False,1
2,1-370-676-4976,1965-08-20 02:19:00,False,2
3,201-969-9724,1976-03-26 03:23:00,False,3
4,084-840-3495,1996-07-18 04:24:00,True,4
5,939-682-5751,1957-11-29 05:34:00,True,5
6,892-0083,1980-10-09 01:07:00,True,6
7,1-014-9794,1996-07-28 01:46:00,False,7
8,1-020-2585,1955-02-27 06:27:00,False,8
9,512-6307,1996-07-12 02:53:00,True,9
10,1-196-069-3146,1964-06-14 09:45:00,False,10
11,308-047-9317,1975-10-16 06:21:00,True,11
12,602-3512,1961-12-20 06:32:00,False,12
13,1-140-6065,1950-04-13 02:49:00,False,13
14,451-1119,1998-10-29 08:32:00,True,14
15,681-8726,1956-01-18 01:49:00,False,15
